44563,18,5,4280,0
44563,18,10,4280,0
44563,18,15,4280,0
44563,18,20,4280,0
44563,18,25,4280,0
44563,18,30,4280,0
44563,18,35,4280,0
44563,18,40,4280,0
44563,18,45,4280,0
44563,18,50,4280,0
44563,18,55,4280,0
44563,19,0,4280,0
44563,19,5,4280,0
44563,19,10,4280,0
44563,19,15,4292.5,0
44563,19,20,4290.5,0
44563,19,25,4297,0
44563,19,30,4308.5,0
44563,19,35,4300.5,0
44563,19,40,4298.5,0
44563,19,45,4302,0
44563,19,50,4301.5,0
44563,19,55,4303,0
44563,20,0,4304.5,0
44563,20,5,4302.5,0
44563,20,10,4302.5,0
44563,20,15,4308,0
44563,20,20,4307,0
44563,20,25,4305,0
44563,20,30,4303,0
44563,20,35,4305.5,0
44563,20,40,4298.5,0
44563,20,45,4290,0
44563,20,50,4288.5,0
44563,20,55,4289,0
44563,21,0,4285.5,0
44563,21,5,4279.5,0
44563,21,10,4280.5,0
44563,21,15,4280.5,0
44563,21,20,4281.5,0
44563,21,25,4280,0
44563,21,30,4280.5,0
44563,21,35,4285.5,0
44563,21,40,4283.5,0
44563,21,45,4286.5,0
44563,21,50,4285,0
44563,21,55,4284,0
44563,22,0,4285.5,0
44563,22,5,4285,0
44563,22,10,4283.5,0
44563,22,15,4280,0
44563,22,20,4280,0
44563,22,25,4280.5,0
44563,22,30,4282.5,0
44563,22,35,4281.5,0
44563,22,40,4281.5,0
44563,22,45,4281.5,0
44563,22,50,4282,0
44563,22,55,4283,0
44563,23,0,4284,0
44563,23,5,4284,0
44563,23,10,4284,0
44563,23,15,4284,0
44563,23,20,4284.5,0
44563,23,25,4285,0
44563,23,30,4285,0
44563,23,35,4285.5,0
44563,23,40,4285.5,0
44563,23,45,4284.5,0
44563,23,50,4284,0
44563,23,55,4284,0
44564,0,0,4286,0
44564,0,5,4287,0
44564,0,10,4285,0
44564,0,15,4283.5,0
44564,0,20,4284,0
44564,0,25,4284,0
44564,0,30,4285,0
44564,0,35,4285.5,0
44564,0,40,4285,0
44564,0,45,4286,0
44564,0,50,4285.5,0
44564,0,55,4284,0
44564,1,0,4286,0
44564,1,5,4291,0
44564,1,10,4289.5,0
44564,1,15,4287.5,0
44564,1,20,4286,0
44564,1,25,4285.5,0
44564,1,30,4284,0
44564,1,35,4285.5,0
44564,1,40,4287,0
44564,1,45,4286,0
44564,1,50,4287,0
44564,1,55,4291,0
44564,2,0,4292.5,0
44564,2,5,4295.5,0
